Zone,Intercept,coefficient1,coefficient2,coefficient3,coefficient4,coefficient5,RMSE
ZONE1,719.1981675320994,0.47059410484778913,0.5170896878713317,,,,2.5809234985673766
ZONE2,720.3216017650691,0.348495984543383,0.18570492329610677,0.1299521932613873,0.33346847949228353,,2.646510944944888
ZONE3,716.9566788217164,0.17732649436034886,0.3420040597816334,0.2280501522659055,0.0908954671082961,0.17732649436034897,2.617984206656136
ZONE4,720.8539229320199,0.11182940893600768,0.06821899291992312,0.3678507211084132,0.41864439461841474,0.03849833581433221,2.6964011933385232
ZONE5,721.4830171062099,-0.0026778755646173972,0.1859401809133241,0.5793370053312301,-0.0026778755646174974,0.24695850082374016,2.7545060448004293
ZONE6,720.8946627537823,0.14610541749055175,0.204502670766942,0.19474187574955826,0.31290063509654487,0.1461054174905518,2.49331107343614
ZONE7,721.2837386132212,0.25848713786634814,0.13329045022756353,0.4207067089881679,0.18527981574859084,,2.5575804507859745
ZONE8,719.1453639992321,0.6543248489604682,0.34606950745872256,,,,2.569434483314464
